,locus_name,BF,FC,BF_k1_1,BF_k1_2
2003,YER184C,0.1957240912264459,0.4199938020430207,3.0817863185113925,3.6573692500283177
2004,YER185W,-2.6938192293064738,0.7648804898767081,-4.808126697196972,-3.567334422314449
2005,YER186C,-4.140759952516518,0.13633470457330238,7.166298404544869,-5.059934369608506
2006,YER187W,-4.781032294216051,0.1918975697913772,-5.101641155790357,-2.7114682760367543
2007,YER188C-A,-6.0489392149067225,0.005716104657964926,-5.622614686132151,-5.759997098441882
2008,YER188W,-5.297334507429421,0.0994419850250524,-4.66052608363788,-5.157956895282339
2009,YER189W,-4.714250974218442,0.5668334370916074,-5.0400239441001125,-5.609251469161538
2010,YER190C-A,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2011,YER190C-B,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2012,YER190W,-4.200320692282395,-0.12175702619162762,-2.9271465724155177,-4.867486658921052
2013,YFL001W,-4.369550365501682,0.15396845580894475,3.5543506806964484,-5.0121825756173
2014,YFL002C,-5.007182027800776,-0.059854374301011946,21.91887388787599,-5.063739904640439
2015,YFL002W-A,-5.048700273532357,0.028872028804924437,4.575418339362438,-0.8806989116208189
2016,YFL002W-B,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2017,YFL003C,-5.637923673683606,0.1412072318235702,-2.148148996742547,-4.887497081925073
2018,YFL004W,2.073384133482888,-0.1738490258472031,64.00960367699084,-0.7632360819807755
2019,YFL005W,-1.2870503967296267,0.11317129269154366,-4.056179311271028,-3.4903285654767306
2020,YFL007W,-3.093010241401991,-0.09091801257286375,9.676928628639944,-4.067712086121165
2021,YFL008W,-2.048189449945165,-0.20960776725393396,25.917666712461372,-4.8011261282814965
2022,YFL009W,-5.0248216067381435,0.040919522124230626,13.04958330323392,-4.338550378221264
2023,YFL010C,-1.9945390462384487,-0.1153934421848786,44.539403527075876,-4.425829644607282
2024,YFL010W-A,-5.366248546471092,0.09162591690216933,0.005293033372590983,-4.8375885531826945
2025,YFL011W,-6.001578946186383,-0.008130047815595539,-5.758813307224559,-4.979594542423771
2026,YFL012W,-5.141105583835027,-0.7911929502605058,-5.125489468710722,-5.7875255881098315
2027,YFL012W-A,-6.814137967463809,0.07130444211574744,-6.696998390921915,-6.62346835374454
2028,YFL013C,-5.258853384703127,-0.041348420467686886,-1.7790584863002032,-5.12329521482446
2029,YFL013W-A,-5.5807196432023165,0.7387297106625025,-6.078088340465485,-5.7900668764235625
2030,YFL014W,-4.329338325731617,-0.33646802399575165,0.1581735949472873,-5.196521985618377
2031,YFL015C,-6.406410276834466,0.07130446124346858,-6.1615791883853195,-5.746455978403807
2032,YFL015W-A,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2033,YFL016C,-3.477122029800877,0.08372211226809971,-4.314649294178484,-2.446287420556804
2034,YFL017C,-5.117351828855245,0.06845591457982592,-4.470923803888798,-5.049788312552857
2035,YFL017W-A,-5.374768835286293,0.07419413619989923,-4.291661777729716,-5.260490905173193
2036,YFL018C,9.59096647915109,0.1771557880353596,1.4902829978134495,-2.1124555663022835
2037,YFL019C,-5.470929255348818,0.7911971872212142,-5.937429624324985,-5.589151862525156
2038,YFL020C,-5.998831849570173,0.01883705644930788,-5.73981872727539,-4.597805379004046
2039,YFL021C-A,-5.871130595268017,0.1301984924410238,-5.700091674064817,-5.421675549484175
2040,YFL021W,-4.837843840602284,-0.10301668958989676,-1.9650285505182492,-1.8941913781750341
2041,YFL022C,-3.634452052812495,0.05508219920132762,3.2369447935264666,-2.56473941128985
2042,YFL023W,-5.309886975872197,0.019510696005989762,9.510700174587882,-0.2747643586720312
2043,YFL024C,-4.839612810019488,0.06493942104724995,-0.7822814437283003,3.8561515095522956
