genes,#R3,#R6,#R12,#R20
YCR054C,0,0,0,0
YCR057C,78,92,100,100
YCR059C,0,0,0,0
YCR060W,0,0,0,0
YCR061W,0,0,0,0
YCR063W,0,0,0,0
YCR064C,1,20,44,35
YCR065W,0,0,0,0
YCR066W,0,0,0,0
YCR067C,0,0,0,0
YCR068W,0,0,0,0
YCR069W,0,0,0,0
YCR071C,0,0,0,0
YCR072C,86,96,100,100
YCR073C,0,0,0,0
YCR073W-A,0,0,0,0
YCR075C,0,0,0,0
YCR075W-A,2,0,0,0
YCR076C,0,0,0,0
YCR077C,0,0,0,0
YCR079W,0,0,0,0
YCR081C-A,0,0,0,0
YCR081W,0,0,0,0
YCR082W,0,0,0,0
YCR083W,0,0,0,0
YCR084C,0,0,0,0
YCR085W,0,0,0,0
YCR086W,0,0,0,0
YCR087C-A,0,0,0,0
YCR087W,0,0,0,3
YCR088W,0,0,0,0
YCR089W,0,0,0,0
YCR090C,0,0,0,0
YCR091W,0,0,0,0
YCR092C,0,0,0,0
YCR093W,0,0,0,0
YCR094W,0,0,0,0
YCR095C,0,0,0,0
YCR095W-A,1,0,0,0
YCR096C,0,0,0,0
YCR097W,8,3,0,0
YCR097W-A,0,0,0,0
YCR098C,0,0,0,0
YCR099C,0,0,0,0
YCR100C,0,0,0,0
YCR101C,3,0,0,0
YCR102C,0,0,0,0
YCR102W-A,1,10,2,0
YCR104W,2,0,0,0
YCR105W,0,0,0,0
YCR106W,0,0,0,0
YCR107W,0,0,0,0
YCR108C,0,3,11,23
YDL001W,0,0,0,0
YDL002C,0,0,0,0
YDL003W,0,0,0,0
YDL004W,0,0,0,0
YDL005C,0,0,0,0
YDL006W,0,0,0,0
YDL007C-A,0,0,0,0
YDL007W,0,0,0,0
YDL008W,0,0,0,0
YDL009C,60,65,70,80
YDL010W,15,7,0,0
YDL011C,0,0,0,0
YDL012C,0,0,0,0
YDL013W,0,0,0,0
YDL014W,4,2,0,0
YDL015C,0,0,0,0
YDL016C,0,0,0,0
YDL017W,0,0,0,0
YDL018C,1,0,0,0
YDL019C,0,0,0,0
YDL020C,0,0,0,0
YDL021W,9,4,1,0
YDL022C-A,0,0,0,0
YDL022W,90,96,99,99
YDL023C,2,4,6,1
YDL024C,82,92,97,99
YDL025C,0,0,0,0
YDL025W-A,0,0,0,0
YDL026W,0,0,0,1
YDL027C,0,0,0,0
YDL028C,0,0,0,0
YDL029W,0,0,0,0
YDL030W,0,0,0,0
YDL031W,23,16,2,0
YDL032W,0,0,0,0
YDL033C,0,0,0,0
YDL034W,0,1,0,0
YDL035C,0,0,0,0
YDL036C,0,0,0,0
YDL037C,100,100,100,100
YDL039C,100,100,100,100
YDL040C,0,0,0,0
YDL041W,0,0,0,0
YDL042C,0,0,0,0
YDL043C,0,0,0,0
YDL044C,0,0,0,0
YDL045C,0,0,0,0
YDL045W-A,0,0,0,0
YDL046W,0,0,0,0
YDL047W,0,0,0,0
YDL048C,100,100,100,100
YDL049C,0,0,0,0
YDL050C,0,0,0,0
YDL051W,0,0,0,0
YDL052C,0,0,0,0
YDL053C,0,0,0,0
YDL054C,0,0,0,0
YDL055C,1,0,0,0
YDL056W,0,0,0,0
YDL057W,0,0,0,0
YDL058W,0,0,0,0
YDL059C,0,0,0,0
YDL060W,53,53,42,38
YDL061C,1,0,0,0
YDL062W,9,29,63,72
YDL063C,63,75,83,90
YDL064W,0,0,0,0
YDL065C,0,0,0,0
YDL066W,0,0,0,0
YDL067C,0,0,0,0
YDL068W,0,0,1,0
YDL069C,0,0,0,0
YDL070W,1,0,0,0
YDL071C,1,0,0,0
YDL072C,0,0,0,0
YDL073W,0,0,0,0
YDL074C,0,0,0,0
YDL075W,0,0,0,0
YDL076C,0,0,0,0
