,locus_name,FC0_bayexpress,FC1_bayexpress,FC2_bayexpress,FC0_edgeR,FC1_edgeR,FC2_edgeR,FC0_DESeq2,FC1_DESeq2,FC2_DESeq2
416,YBR096W,True,False,False,True,False,False,True,False,False
417,YBR097W,False,False,False,True,False,False,True,False,False
418,YBR098W,True,False,False,True,False,False,True,False,False
419,YBR099C,False,False,False,,,,,,
420,YBR101C,False,False,False,True,False,False,True,False,False
421,YBR102C,True,False,False,False,False,False,False,False,False
422,YBR103C-A,False,False,False,,,,False,False,False
423,YBR103W,True,False,False,True,False,False,True,False,False
424,YBR104W,True,False,False,True,False,False,True,False,False
425,YBR105C,True,False,False,True,False,False,True,False,False
426,YBR106W,True,False,False,False,False,False,False,False,False
427,YBR107C,True,False,False,False,False,False,False,False,False
428,YBR108W,True,False,False,False,False,False,False,False,False
429,YBR109C,True,False,False,True,False,False,True,False,False
430,YBR109W-A,True,True,False,True,True,False,True,True,False
431,YBR110W,True,False,False,False,False,False,False,False,False
432,YBR111C,True,False,False,True,False,False,True,False,False
433,YBR111W-A,True,False,False,True,False,False,True,False,False
434,YBR112C,True,False,False,True,False,False,True,False,False
435,YBR113W,True,False,False,True,False,False,True,False,False
436,YBR114W,True,False,False,True,False,False,True,False,False
437,YBR115C,True,False,False,True,False,False,True,False,False
438,YBR116C,False,False,False,,,,False,False,False
439,YBR117C,False,False,False,True,False,False,True,False,False
440,YBR118W,True,False,False,True,False,False,True,False,False
441,YBR119W,True,False,False,False,False,False,False,False,False
442,YBR120C,True,False,False,False,False,False,False,False,False
443,YBR121C,True,False,False,True,False,False,True,False,False
444,YBR121C-A,False,False,False,,,,,,
445,YBR122C,True,False,False,False,False,False,False,False,False
446,YBR123C,True,False,False,True,False,False,True,False,False
447,YBR124W,False,False,False,,,,False,False,False
448,YBR125C,False,False,False,True,False,False,True,False,False
449,YBR126C,True,False,False,True,False,False,True,False,False
450,YBR126W-A,True,False,False,False,False,False,False,False,False
451,YBR126W-B,True,False,False,False,False,False,False,False,False
452,YBR127C,True,False,False,True,False,False,True,False,False
453,YBR128C,True,False,False,False,False,False,False,False,False
454,YBR129C,True,False,False,False,False,False,False,False,False
455,YBR130C,True,False,False,False,False,False,False,False,False
456,YBR131C-A,False,False,False,,,,,,
457,YBR131W,True,False,False,False,False,False,False,False,False
458,YBR132C,True,False,False,False,False,False,False,False,False
459,YBR133C,True,False,False,True,False,False,True,False,False
460,YBR134W,False,False,False,,,,False,False,False
461,YBR135W,True,False,False,False,False,False,False,False,False
462,YBR136W,True,False,False,True,False,False,True,False,False
463,YBR137W,True,False,False,True,False,False,True,False,False
464,YBR138C,True,False,False,True,False,False,True,False,False
465,YBR139W,True,False,False,False,False,False,False,False,False
466,YBR140C,True,False,False,True,False,False,True,False,False
467,YBR141C,True,False,False,False,False,False,False,False,False
468,YBR141W-A,False,False,False,,,,,,
469,YBR142W,True,False,False,True,False,False,True,False,False
470,YBR143C,True,False,False,True,False,False,True,False,False
471,YBR144C,False,False,False,,,,False,False,False
472,YBR145W,True,False,False,True,False,False,True,False,False
473,YBR146W,True,False,False,True,False,False,True,False,False
474,YBR147W,True,False,False,True,False,False,True,False,False
475,YBR148W,True,True,False,True,False,False,True,False,False
476,YBR149W,True,False,False,True,False,False,True,False,False
477,YBR150C,True,False,False,True,False,False,True,False,False
478,YBR151W,False,False,False,True,False,False,True,False,False
479,YBR152W,False,False,False,False,False,False,False,False,False
480,YBR153W,True,False,False,False,False,False,False,False,False
481,YBR154C,True,False,False,True,False,False,True,False,False
482,YBR155W,False,False,False,True,False,False,True,False,False
483,YBR156C,True,False,False,True,False,False,True,False,False
484,YBR157C,True,False,False,True,False,False,True,False,False
485,YBR158W,True,False,False,True,False,False,True,False,False
486,YBR159W,True,False,False,True,False,False,True,False,False
487,YBR160W,True,False,False,True,False,False,True,False,False
488,YBR161W,False,False,False,True,False,False,True,False,False
489,YBR162C,True,False,False,True,False,False,True,False,False
490,YBR162W-A,True,False,False,True,False,False,True,False,False
491,YBR163W,True,False,False,False,False,False,False,False,False
492,YBR164C,True,False,False,False,False,False,False,False,False
493,YBR165W,True,False,False,True,False,False,True,False,False
494,YBR166C,True,False,False,True,False,False,True,False,False
495,YBR167C,True,False,False,True,False,False,True,False,False
496,YBR168W,True,False,False,True,False,False,True,False,False
497,YBR169C,True,False,False,False,False,False,False,False,False
498,YBR170C,True,False,False,True,False,False,True,False,False
499,YBR171W,True,False,False,True,False,False,True,False,False
500,YBR172C,True,False,False,True,False,False,True,False,False
501,YBR173C,True,False,False,False,False,False,False,False,False
502,YBR174C,False,False,False,,,,False,False,False
503,YBR175W,True,False,False,True,False,False,True,False,False
504,YBR176W,True,False,False,True,False,False,True,False,False
505,YBR177C,True,False,False,True,False,False,True,False,False
506,YBR178W,True,True,False,,,,True,True,False
507,YBR179C,True,False,False,True,False,False,True,False,False
508,YBR180W,True,False,False,True,False,False,True,False,False
509,YBR181C,True,False,False,True,False,False,True,False,False
510,YBR182C,False,False,False,True,False,False,True,False,False
511,YBR182C-A,True,True,False,,,,True,False,False
512,YBR183W,True,False,False,True,False,False,True,False,False
513,YBR184W,True,True,False,True,False,False,True,False,False
514,YBR185C,True,False,False,True,False,False,True,False,False
515,YBR186W,False,False,False,False,False,False,False,False,False
516,YBR187W,True,False,False,True,False,False,True,False,False
517,YBR188C,True,False,False,True,False,False,True,False,False
518,YBR189W,True,False,False,True,False,False,True,False,False
519,YBR190W,False,False,False,,,,False,False,False
520,YBR191W,True,False,False,True,False,False,True,False,False
521,YBR191W-A,False,False,False,,,,False,False,False
522,YBR192W,False,False,False,True,False,False,True,False,False
523,YBR193C,True,False,False,False,False,False,False,False,False
524,YBR194W,True,False,False,True,False,False,True,False,False
525,YBR195C,False,False,False,True,False,False,True,False,False
526,YBR196C,True,False,False,True,False,False,True,False,False
527,YBR196C-A,False,False,False,False,False,False,False,False,False
528,YBR196C-B,False,False,False,True,False,False,True,False,False
529,YBR197C,False,False,False,True,False,False,True,False,False
530,YBR198C,True,False,False,False,False,False,False,False,False
531,YBR199W,True,False,False,True,False,False,True,False,False
532,YBR200W,True,False,False,True,False,False,True,False,False
533,YBR200W-A,True,True,False,,,,True,True,False
534,YBR201C-A,True,False,False,True,False,False,True,False,False
535,YBR201W,True,False,False,True,False,False,True,False,False
536,YBR202W,True,False,False,True,False,False,True,False,False
