YBR012W-A,0,0,0,0,0,0
YBR012W-B,1753,1648,1670,568,549,569
YBR013C,67,74,67,100,132,107
YBR014C,384,327,347,650,795,810
YBR015C,1807,1466,1678,2241,2260,2189
YBR016W,1148,1327,1184,2153,2373,1960
YBR017C,1346,924,1227,984,1134,1023
YBR018C,54,41,42,95,116,123
YBR019C,113,91,110,136,147,144
YBR020W,133,93,133,191,236,246
YBR021W,190,136,186,237,233,245
YBR022W,175,251,203,204,243,230
YBR023C,1333,1048,1214,2039,2077,2107
YBR024W,261,257,245,312,352,337
YBR025C,6318,5125,6184,4618,5190,4818
YBR026C,614,679,556,856,1035,908
YBR027C,28,11,20,12,22,27
YBR028C,476,367,503,339,545,517
YBR029C,765,619,932,719,906,1039
YBR030W,404,273,459,373,333,386
YBR031W,22925,20794,21976,24370,24749,20166
YBR032W,171,47,202,144,118,216
YBR033W,245,190,232,359,323,332
YBR034C,1701,906,1968,807,812,941
YBR035C,936,879,808,1336,1789,1628
YBR036C,2347,2309,1978,3634,3769,3081
YBR037C,367,423,333,639,692,624
YBR038W,589,449,544,509,483,583
YBR039W,1229,1189,1115,1822,2117,2188
YBR040W,3,2,3,4,2,6
YBR041W,1053,976,806,1018,1158,1160
YBR042C,504,395,518,542,607,632
YBR043C,590,483,505,981,1000,1069
YBR044C,474,381,489,634,709,691
YBR045C,67,73,66,81,103,94
YBR046C,453,627,361,781,982,825
YBR047W,57,88,71,72,108,95
YBR048W,9265,9793,10398,11166,9490,8475
YBR049C,708,503,721,707,833,721
YBR050C,181,254,184,249,218,233
YBR051W,8,9,14,21,9,17
YBR052C,1558,1715,1517,2597,3241,2783
YBR053C,569,654,407,751,1068,890
YBR054W,305,507,252,185,172,188
YBR055C,423,297,390,595,708,695
YBR056C-B,0,0,0,0,0,0
YBR056W,937,1240,750,1227,1426,1194
YBR056W-A,8,14,10,10,15,9
YBR057C,709,477,693,985,1152,1114
YBR058C,725,609,682,828,944,896
YBR058C-A,580,474,511,582,887,847
YBR059C,1610,1557,1442,2812,2953,2666
YBR060C,489,288,455,426,483,530
YBR061C,245,196,292,208,212,198
YBR062C,309,322,305,485,599,513
YBR063C,150,87,156,142,188,193
YBR064W,0,0,0,1,1,0
YBR065C,101,74,105,80,94,81
YBR066C,373,222,415,312,437,386
YBR067C,6488,4202,7937,1291,1095,1208
YBR068C,4681,3912,3897,3300,3795,3530
YBR069C,2398,1503,2172,1187,1101,1105
YBR070C,199,177,168,612,839,754
YBR071W,330,436,380,684,968,742
YBR072C-A,1,3,3,4,10,8
YBR072W,75,170,78,170,251,163
YBR073W,865,699,837,1193,1387,1390
YBR074W,767,560,647,711,865,759
YBR076C-A,128,107,139,287,330,296
YBR076W,55,42,79,75,143,112
YBR077C,308,395,338,666,873,764
YBR078W,8709,8212,8986,10446,12600,10656
YBR079C,4438,2804,4931,3073,3551,3717
YBR080C,1146,1072,1041,1362,1420,1395
YBR081C,689,479,587,722,910,916
YBR082C,3308,3237,3323,4884,5890,5008
YBR083W,582,491,563,736,760,838
YBR084C-A,9534,8600,10431,9980,10993,9959
YBR084W,2677,1491,2130,2158,2034,1965
YBR085C-A,823,1228,930,1209,1950,1524
YBR085W,279,200,267,131,169,140
YBR086C,2831,2329,2377,3326,3482,3173
YBR087W,403,339,487,524,542,580
YBR088C,77,74,79,91,125,139
YBR089C-A,479,678,607,1281,1208,1269
YBR089W,0,0,0,2,1,1
YBR090C,18,15,20,30,35,39
YBR091C,158,142,179,180,245,208
YBR092C,2086,1459,2366,441,378,436
YBR093C,1625,1509,1994,567,470,488
YBR094W,480,406,433,472,425,456
YBR095C,373,308,338,427,494,559
YBR096W,489,517,502,720,923,936
YBR097W,291,259,314,285,316,353
YBR098W,164,133,181,204,242,257
YBR099C,0,0,0,0,0,0
YBR101C,871,523,964,776,945,1030
YBR102C,400,329,314,394,546,488
YBR103C-A,0,1,5,4,1,7
YBR103W,538,428,436,798,813,805
YBR104W,432,319,444,395,368,429
YBR105C,711,538,700,1054,1141,1197
YBR106W,5836,5165,5866,7337,8195,7448
YBR107C,245,198,197,331,305,317
YBR108W,809,824,558,1028,1091,889
YBR109C,1813,1861,1929,2945,3270,3348
YBR109W-A,19,27,18,11,12,11
YBR110W,628,563,623,772,970,949
YBR111C,1309,1360,1253,1997,2564,2115
YBR111W-A,168,218,201,313,433,397
YBR112C,2435,2111,2042,2688,2301,2154
YBR113W,24,20,16,22,23,14
YBR114W,661,518,527,848,828,710
YBR115C,1428,1309,1056,1214,1390,1195
YBR116C,3,2,4,4,5,3
YBR117C,104,77,135,145,118,120
YBR118W,129583,122945,139455,144248,126646,113665
YBR119W,300,222,278,338,387,407
YBR120C,165,144,161,164,222,273
YBR121C,5113,4157,4894,4527,4505,4349
YBR121C-A,0,0,0,0,0,0
YBR122C,441,396,411,537,586,698
YBR123C,467,326,451,548,750,689
YBR124W,1,0,0,2,1,0
YBR125C,554,508,544,685,648,648
YBR126C,7733,8038,6492,9169,9988,7469
YBR126W-A,455,656,581,769,734,518
YBR126W-B,70,75,69,91,108,84
YBR127C,5040,5149,4994,6108,6777,5475
YBR128C,123,116,140,140,203,182
YBR129C,352,313,340,422,550,567
YBR130C,727,468,757,638,879,935
YBR131C-A,0,0,0,0,0,0
YBR131W,144,98,129,152,177,209
YBR132C,526,462,366,753,808,793
YBR133C,619,457,607,690,681,630
YBR134W,2,4,9,2,7,3
YBR135W,439,369,477,720,728,627
YBR136W,329,244,319,447,486,425
YBR137W,222,209,187,283,332,353
YBR138C,195,185,176,269,302,338
YBR139W,1150,1483,975,1977,1915,1832
YBR140C,1193,983,964,1156,1277,1269
YBR141C,138,66,102,118,157,154
YBR141W-A,0,0,0,0,0,0
YBR142W,681,287,573,306,327,338
YBR143C,3658,2515,3433,2388,2884,2962
YBR144C,4,7,9,8,6,10
YBR145W,1103,1914,983,1790,1926,1654
YBR146W,782,703,794,779,738,849
YBR147W,65,196,50,248,322,306
YBR148W,45,36,49,101,129,141
YBR149W,2405,2956,2018,3027,3778,3114
YBR150C,583,488,523,887,825,924
YBR151W,1408,1343,1219,1484,1655,1471
YBR152W,165,113,152,156,158,129
YBR153W,313,179,336,360,510,412
YBR154C,917,563,956,589,770,904
YBR155W,553,325,670,514,581,611
YBR156C,163,106,174,260,315,313
YBR157C,345,237,335,269,303,362
YBR158W,1739,1318,1756,1127,1484,1344
YBR159W,1573,1419,1505,1972,2305,2298
YBR160W,602,495,631,876,1055,1018
YBR161W,295,255,306,297,369,387
YBR162C,6741,6253,6679,10951,12046,10232
YBR162W-A,610,720,716,1266,1456,1319
YBR163W,477,328,481,534,632,664
YBR164C,759,671,727,831,972,1007
YBR165W,226,214,231,332,395,409
YBR166C,547,484,519,546,617,650
YBR167C,186,200,222,363,390,385
YBR168W,221,185,189,305,386,402
YBR169C,560,734,471,807,1028,802
YBR170C,726,711,683,885,927,836
YBR171W,653,483,630,675,1030,1222
YBR172C,1033,595,1011,825,761,823
YBR173C,1015,1299,1167,1935,1929,1628
YBR174C,3,0,1,0,0,1
YBR175W,267,250,278,371,479,424
YBR176W,220,188,232,246,292,255
YBR177C,895,937,986,1480,1890,1979
YBR178W,2,0,4,1,6,0
YBR179C,423,323,366,528,629,576
YBR180W,36,32,47,31,57,35
YBR181C,9778,8839,9789,8761,9133,8494
YBR182C,98,61,87,67,127,103
YBR182C-A,3,5,6,7,8,10
YBR183W,368,371,354,861,842,852
YBR184W,30,21,36,40,51,50
YBR185C,246,243,282,347,364,322
YBR186W,87,58,94,75,131,111
YBR187W,1840,1375,1800,1420,1720,1568
YBR188C,178,140,182,252,283,271
YBR189W,13807,12218,14509,12015,13417,12579
YBR190W,54,32,44,25,43,40
YBR191W,10080,11412,12230,13123,11566,11070
YBR191W-A,58,6,35,9,38,83
YBR192W,411,279,413,316,446,475
YBR193C,301,268,282,388,487,416
YBR194W,100,94,117,146,144,154
YBR195C,196,190,258,212,288,262
YBR196C,18176,20871,16476,18653,16486,13768
YBR196C-A,15,5,10,7,18,13
YBR196C-B,19,14,21,18,31,20
YBR197C,267,255,270,309,328,293
